epoch,train_loss,val_loss,vel_mse,on_f1,on_pr,on_rec,fr_f1,fr_pr,fr_rec,off_f1,off_pr,off_rec
1,0.20605540235937644,0.14187180798878704,0.006021785895691078,0.5033408776081378,0.3453848141984124,0.927532701144406,0.5733674639445291,0.42540173950685917,0.8791631341655858,0.2876423836617892,0.531681192120303,0.19715109232134184
2,0.15919276069009344,0.12690020773721777,0.005362622518315102,0.5503517357738863,0.38991761462556024,0.9351079363766044,0.6096285336452059,0.4641416234447673,0.8879641993162161,0.3390813915532295,0.5754472982342863,0.24035513276872086
3,0.14876896347160692,0.12182802307432976,0.004858179527429351,0.5762427481306345,0.4169568795000689,0.9324618135517648,0.6141066963611964,0.4662222003115988,0.8993913424969677,0.3603893693429976,0.5853364432210076,0.2603397788235078
4,0.1420541719856487,0.11819308110769244,0.004332626697377882,0.5899148309140291,0.4317068960495667,0.9311563725287404,0.639466935699531,0.4991057312292704,0.889662667254169,0.3656872586581798,0.6138680383473367,0.2604072013374175
5,0.13782977749803652,0.11453844349075487,0.004326173326631576,0.5965071027206368,0.43832785358752446,0.9333106566582855,0.6280825465874578,0.4788796802383262,0.9123358283065883,0.3806500777934188,0.6153848786313906,0.2755450880400122
6,0.13440555719414143,0.11410401474036601,0.004254640151318028,0.5625892017330104,0.399721587724057,0.9494417400977242,0.6398882561556595,0.496075116975642,0.9011266089805656,0.4250731198332044,0.5562469334047013,0.34396055170004336
7,0.13201429026094752,0.11159778449792361,0.004247189092827772,0.5512630231906523,0.3876096334244222,0.9540919906903056,0.629114485638324,0.4775422404669542,0.921645382451586,0.4244801852325651,0.5891103117636495,0.3317662706615528
8,0.12985929268779176,0.11114955175182094,0.004099819066418011,0.5810921465261073,0.4200941692149195,0.9421729464202264,0.6469725007831996,0.5029702014667118,0.9065097105149216,0.41745851595168815,0.6078704856787048,0.3178833621155959
9,0.12746836548100418,0.11063089551053186,0.003982169269769709,0.5898458172756235,0.42885113814661097,0.944371664575203,0.6743582943447233,0.5441475728816085,0.8864889121680843,0.4199093567545297,0.6099927301180407,0.3201466133211564
10,0.12590097267218311,0.10838948118675878,0.00390783351663824,0.5767458148885604,0.4138114204516674,0.9513186946202653,0.6376418499039236,0.48741962729202165,0.9217127668014035,0.42627906883868416,0.6117075994234742,0.32711871419136657
11,0.1245633255452018,0.10727304718254702,0.003802913970793125,0.6058786335510696,0.4462497698644991,0.9433129090037126,0.6721212692241691,0.537537834377969,0.8966042110917507,0.43906997441317164,0.5954362507674467,0.3477484711178806
12,0.12310846910031155,0.10619399596707545,0.0036931258151341444,0.5913318246193764,0.4288057194978742,0.952256405777649,0.6513069986529152,0.5054548217901568,0.9154723069438377,0.4426823601082504,0.6099636526039103,0.3474067615587472
13,0.12170564458025024,0.10600612621646428,0.0038102905255863848,0.6107624166777689,0.45123771831864096,0.9447608453496728,0.6582831123010162,0.5149278875009947,0.9122531510546845,0.4181651669549796,0.648565253661349,0.308553005588407
14,0.12082337057751036,0.1050356517451397,0.0036881041832848628,0.5823079755958557,0.41870557200104713,0.9557529039167827,0.6548457976420499,0.5087906415286139,0.9185189397813306,0.4380049403811886,0.6174924788865127,0.33936202978542784
15,0.11993445456529707,0.10515829756100109,0.003884000774132142,0.5974356261362216,0.4353770870323782,0.9516726346159444,0.6859762105332364,0.5570519242797392,0.8925477688133759,0.4560093534175985,0.5950326584576525,0.36964546483992516
16,0.11860270894035346,0.10488378484665915,0.003754702345231899,0.619309402280136,0.46091499961080407,0.9435687877018876,0.6674958253070987,0.526828568332021,0.9106450068196785,0.4342671479853347,0.6343041690096063,0.33014966265758094
17,0.11798148782867374,0.10448123907427424,0.0036926561936169214,0.611495975647253,0.4513731125221761,0.9476827655737429,0.6408502864362373,0.48915813100538225,0.9289147678776415,0.44360452722432364,0.6284399546021507,0.34278525469620796
18,0.1176014583520215,0.10621395877198032,0.003624966029378086,0.5536069877299209,0.38837399604129164,0.9635457126528185,0.6568446619373921,0.512781593025193,0.913482318059866,0.451065946587949,0.6081316790271724,0.3584793771385579
19,0.11627423372934964,0.10354969241534887,0.0035901614224396485,0.60959843078607,0.4492212910045535,0.9480704141404391,0.6600056689828152,0.5144969471955131,0.9202757119084872,0.45988068541772925,0.6048580123224218,0.37096480085074957
20,0.11540892176355176,0.10489715844986663,0.0036651113157437276,0.6036172343035163,0.44182379990062703,0.9523697891528883,0.6867578181657948,0.5575954582640656,0.8937989193653063,0.4501778515532369,0.6110772432494929,0.3563494386309552
21,0.11470771982312604,0.10352160264670417,0.0035800878101946328,0.5840856459866283,0.420033884260338,0.9584097521960367,0.6662255355400912,0.5239041529156303,0.9147119629682376,0.4624170934153795,0.5993242089341043,0.3764275568072988
22,0.11435033156213535,0.1049468539574224,0.003871061853926116,0.6197217021818946,0.46075203992096986,0.946172008709069,0.6474214908235593,0.49796192209333046,0.9250762494539956,0.43175107997044454,0.6481598536965554,0.3236801659819706
23,0.11354517768127749,0.10399522556774858,0.0035705570350029925,0.6107395249325183,0.45012765246570813,0.9495535912651899,0.6851999775893556,0.5542527232279274,0.8971628799210887,0.44295509780705544,0.6437074407639702,0.33765194965989936
24,0.11278145735713369,0.10446610046631616,0.003946357083581118,0.6291553707329295,0.47262911390845935,0.940697430334343,0.6794027231179097,0.5446402133990845,0.9027815877282107,0.4497578208910179,0.6310479965016965,0.349384999410053
